smile,class
Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,1
ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl,0
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1,1
CN(C)C(=N)N=C(N)N,0
NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,1
CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC12C,0
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1
COc1cnc(-n2cnc(C)n2)c2c1c(C(=O)C(=O)N1CCN(C(=O)c3ccccc3)CC1)cn2CO[P](=O)(=O)O,1
CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,1
CNC(=O)c1cnn(-c2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)c1,1
CCOC(=O)CC(=O)c1ccccc1,0
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,0
Clc1cccc(Cl)c1NC1=NCCN1,1
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,0
O=C(Nc1ccc(Cl)c(Cl)c1)c1cc(Cl)cc(Cl)c1O,0
CN(C)C(=O)c1cc2c[nH]c(=Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,1
O=[P](=O)(O)C(Cl)(Cl)[P](=O)(=O)O,1
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21,0
CC[N+](C)(C)Cc1ccccc1Br,1
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,1
COC1(C(=O)NC(C)c2ccc(-n3cc(F)cn3)nc2)CCC(c2nc(=Nc3cc(C)[nH]n3)cc(C)[nH]2)CC1,1
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1N=c1nc(-c2cccnc2)cc[nH]1,1
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,0
C1N2CN3CN1CN(C2)C3,0
COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,1
C[N+](C)(C)CCO,0
CCCC1CC(=O)N(C(CC)C(N)=O)C1,0
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,1
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,1
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,0
CS(=O)(=O)c1ccc(-c2coc(O)c2-c2ccccc2)cc1,1
CC1CC2C3C(Cl)C=C4CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,0
CC(=O)OCC(=O)C1(O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,0
CCCC(=O)OCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl,1
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1OP(=O)(O)O,1
NC(=O)CN1CCCC1=O,0
CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4,1
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,1
COC(=O)NC(C)CN=c1nc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)cc[nH]1,1
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,1
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,1
O=C1c2c(O)cccc2Cc2cccc(O)c21,0
NC(=O)c1cccc2cn(-c3ccc(C4CCCNC4)cc3)nc12,1
CS(C)(=O)=O,0
COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4,1
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0
O=C(O)CCCCCCCC(=O)O,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C,0
NC(=O)N1c2ccccc2CC(O)c2ccccc21,0
CC(C)=CCCC(C)=CCCC(C)=CC=O,0
COC1(C)C(N(C)C(=O)c2ccccc2)C2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CCl,0
CC(=O)C(=O)c1ccccc1,0
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],1
COc1ccc(C(=O)c2ccccc2)c(O)c1,0
CCOCCP(CCOCC)CCP(CCOCC)CCOCC,1
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,1
O=C(O)c1ccc(O)cc1,0
O=C1C(c2[nH]c3ccc(S(=O)(=O)O)cc3c2O)=Nc2ccc(S(=O)(=O)O)cc21,1
C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,1
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,0
C1=Nc2ccccc2Oc2ccccc21,0
Oc1cccc2cc3cccc(O)c3c(O)c12,0
Cn1sc(Cl)cc1=O,0
CC(C)C(N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(=N)[nH]c21,1
COc1ccc2[nH]c3c(c2c1)CCNC31CSC2c3c(OC(C)=O)c(C)c4c(c3C(COC1=O)N1C(O)C3Cc5cc(C)c(OC)c(O)c5C(C21)N3C)OCO4,0
CC(=O)NS(=O)(=O)c1ccc(N)cc1,0
CC(=O)Oc1ccc(C(=O)O)cc1,0
O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],0
CC(=O)NC(CSSCC(N)C(=O)O)C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(N)=O,1
COc1cc(N=c2nc(N=c3ccc4c([nH]3)N(CO[P](=O)(=O)O)C(=O)C(C)(C)O4)c(F)c[nH]2)cc(OC)c1OC,1
COC=C1CSC2C(=NC(=O)C(NOC)c3csc(=N)[nH]3)C(=O)N2C1C(=O)O,1
COc1cccc(OC)c1O,0
Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O,1
N=C(N)NCC1COc2ccccc2O1,0
CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0
COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,1
O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,1
Nc1ccc(Cl)cc1,0
C1CCC2CCCCC2C1,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,1
CCC(C)C(N=C(O)C(CC(=N)O)N=C(O)C(Cc1ccccc1)N=C(O)C(Cc1ccccc1)N=C(O)C(Cc1c[nH]c2ccccc12)N=C(O)C(CCCNC(=N)N)N=C(O)C1CCCN1C(=O)C(Cc1cnc[nH]1)N=C(O)C(C)N=C(O)C(C)N=C(O)C(CCCNC(=N)N)N=C(O)C(CS)N=C(O)C1CCCN1C(=O)CN=C(O)C(CC(=O)O)N=C(O)C(CC(=O)O)N=C(O)C(C)N=C(O)C(CCCCN)N=C(O)C(Cc1ccccc1)N=C(O)C(C)N=C(O)C(CS)N=C(O)C(Cc1ccccc1)N=C(O)C(CO)N=C(O)C(Cc1cnc[nH]1)N=C(O)C(CCSC)N=C(O)C(C)N=C(O)C(N)CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=N)O)C(=O)NC(CS)C(O)=NC(CCC(=O)O)C(O)=NC(CCC(=O)O)C(O)=NC(Cc1ccccc1)C(O)=NC(C(O)=NC(Cc1ccc(O)cc1)C(O)=NCC(O)=NCC(O)=NC(CS)C(O)=NC(CCC(=O)O)C(O)=NCC(O)=NC(CC(N)=O)C(O)=NC(CCC(N)=O)C(O)=NC(CC(N)=O)C(O)=NC(CCCNC(=N)N)C(O)=NC(Cc1ccccc1)C(O)=NC(CCC(=O)O)C(O)=NC(CO)C(O)=NC(CC(C)C)C(O)=NC(CCC(=O)O)C(O)=NC(CCC(=O)O)C(O)=NC(CS)C(O)=NC(CCCCN)C(O)=NC(CCCCN)C(O)=NC(CCSC)C(O)=NC(CS)C(O)=NC(C(O)=NC(CCCNC(=N)N)C(O)=NC(CC(=O)O)C(=O)O)C(C)O)C(C)CC)C(C)O,0
COC(=O)CCC1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,1
CCOP(=O)(OCC)SCC[N+](C)(C)C,0
CC(C)(O)CN=c1[nH]c(-c2cccc(C(F)(F)F)n2)nc(=Nc2ccnc(C(F)(F)F)c2)[nH]1,1
CC(Cl)(Cl)Cl,0
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,0
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CSC12)c1csc(=N)[nH]1,0
CCCCS(=O)(=O)NC(Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,1
c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,1
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0
N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,1
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,1
CC1=CCC(C(C)C)C=C1,0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1
NC(=O)NS(=O)(=O)c1ccc(N)cc1,0
CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1,1
CC(=O)C=Cc1ccccc1,0
CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,0
N=c1[nH]c(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,1
CC(C)C(=O)Oc1ccc(CO)cc1C(CCN(C(C)C)C(C)C)c1ccccc1,1
